"PROVINCIA";"TIPOLOXÍA";"NOME";"ENDEREZO";"LOCALIDADE";"CONCELLO";"CÓDIGO POSTAL";"TELÉFONO";"FAX";"COORDENADAS";"PORTAL WEB";"ENDEREZO WEB 2";"CORREO ELECTRÓNICO";"NIDEN";"ACCESO AO CATÁLOGO";"INFORMACIÓN ADICIONAL";"TITULARIDADE";"INSTITUCIÓN TTULAR";"ORGANISMO XESTOR";"ACCESO";"ESTADO";"SITUACIÓN ADMINISTRATIVA NA RBG"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Dumbría";"Estrada da Coruña, s/n";"Dumbría";"Dumbría";"15151";"981744001";"981744031";"43.0346108,-9.111697";"";"";"bibliotecasdedumbria@hotmail.com/dumbria.rbgalicia@eidolocal.es";"1502489-186";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Dumbría";"Concello de Dumbría";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Ézaro";"Casa da Cultura 1º andar. Paseo Marítimo, 93-1";"Ézaro";"Dumbría";"15151";"981712605";"981744031";"42.910187,-9.130368";"";"";"dumbria.rbgalicia@eidolocal.es/bibliotecasdedumbria@hotmail.com";"1502489-185";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Dumbría";"Concello de Dumbría";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Lucín-Olveira";"Centro Social e Cultural de Olveira";"Olveira, 43";"Dumbría";"15151";"981744001";"981744031";"42.9883,-9.03024";"";"";"dumbria.rbgalicia@eidolocal.es/bibliotecasdedumbria@hotmail.com";"1502489-184";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Dumbría";"Concello de Dumbría";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública  Municipal  Xosé María Pérez Parallé";"Avenida de Conces 20 - 22";"Fene";"Fene";"15500";"981342302,607625346";"981342302";"43.4819,-8.16619";"";"";"fene.rbgalicia@eidolocal.es/silvia.mouzo@fene.gal";"1500651-120";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Fene";"Concello de Fene";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública de Ferrol (Caranza)";"Avenida de Castelao, s/n";"Caranza";"Ferrol";"15406";"981944183";"981944197";"43.4828,-8.20489";"http://www.ferrol.es/biblioteca/";"";"biblioteca@ferrol.es";"1500710-188";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Ferrol";"Concello de Ferrol";"Público";"Pechada temporalmente";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Asociación Cultural Juan Enrique Frade";"Rúa Ortigueira, 10 -  Baixo";"Ferrol";"Ferrol";"15403";"981317184";"981322966";"43.4864521,-8.2248412";"";"";"avvrecimil@hotmail.com";"1502533-11848";"";"";"Privada";"Asociación Cultural Juan Enrique Frade";"Asociación Cultural Juan Enrique Frade";"Público";"Aberta";""
"A Coruña";"Biblioteca Pública";"Biblioteca Pública de Ferrol ";"Praza de España, 2";"Ferrol";"Ferrol";"15403";"981944182";"981944196";"43.4860493,-8.2272009";"http://www.ferrol.es/biblioteca/";"";"biblioteca@ferrol.es";"1500710-130";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Ferrol";"Concello de Ferrol";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública de Ferrol (Inferniño)";"Centro Cultural Carballo Calero. Praza do Inferniño, s/n";"Ferrol";"Ferrol";"15403";"981944184";"";"43.4897,-8.22256";"http://www.ferrol.es/biblioteca/";"";"biblioteca@ferrol.es";"1500710-304";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Ferrol";"Concello de Ferrol";"Público";"Pechada temporalmente";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Frades";"Lugar de Cimadevila, 10";"Ponte Carreira - Gafoi";"Frades";"15686";"981695567";"981695579";"43.0353273,-8.2928218";"";"";"biblioteca.municipal@frades.gal";"1502492-4";"";"";"Pública";"Concello de Frades";"Concello de Frades";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Irixoa";"Rúa Pazo de Irixoa,14";"Irixoa";"Irixoa";"15313";"981793064/981793001";"981793064";"43.2847,-8.05893";"http://www.opacmeiga.rbgalicia.org/Biblioteca.aspx?CodigoBiblioteca=CBM050";"";"irixoa.rbgalicia@eidolocal.es/elisa.alonso@irixoa.es";"1502548-353";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Irixoa";"Concello de Irixoa";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Caión";"Campo da Insua, s/n";"Caión";"Laracha, A";"15145";"";"";"43.3202,-8.60592";"";"";"caion.rbgalicia@eidolocal.es";"1500882-396";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Laracha";"Concello de Laracha";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Paiosaco";"Porta Santa, 10";"Paiosaco (Lestón)";"Laracha, A";"15145";"981612834/981605001";"981606331(Concello)";"43.2597896,-8.5622478";"";"";"paiosaco.rbgalicia@eidolocal.es";"1500882-12348";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de A Laracha";"Concello de A Laracha";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de A Laracha";"Manuel Murguía, s/n";"Torás (A Laracha)";"Laracha, A";"15145";"981642389";"981642389";"43.2469698,-8.5831981";"";"";"laracha.rbgalicia@eidolocal.es";"1500882-305";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Laracha";"Concello de Laracha";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal Antón Zapata García";"Villa Amparo, 23";"Laxe";"Laxe";"15117";"981706967";"981728025";"43.2173,-9.0048";"http://www.concellodelaxe.com/portalcidadan/info.php?id_seccionweb=65&id_info=113&id_language=1";"";"biblioteca@laxe.es";"1501800-248";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Laxe";"Concello de Laxe";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal da Torre";"Agrupación Escolar Mixta A Torre";"Sarces";"Laxe";"15118";"981706903";"981706916(Concello)";"43.1869,-9.00738";"";"";"biblioteca@concellodelaxe.com";"1501800-2340";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Laxe";"Concello de Laxe";"Público";"Pechada temporalmente";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Axencia de Lectura Municipal de Lousame";"Casa da Cultura. Portobravo s/n (Lugar de Bouciñas)";"Lousame";"Lousame";"15121";"981825780";"";"42.785238,-8.8645042";"";"";"lousame.rbgalicia@eidolocal.es/casacultura@concellodelousame.com";"1502356-342";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Lousame";"Concello de Lousame";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Aldeola";"Aldeola, 24";"Cerqueda";"Malpica de Bergantiños";"15116";"";"";"43.2863,-8.79847";"";"";"aldeola.malpica.rbgalicia@eidolocal.es";"1500895-1991";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Malpica de Bergantiños";"Asociación Cultural Raigañas";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal Eduardo Blanco Amor";"Rúa Ventorrillo, s/n";"Malpica";"Malpica de Bergantiños";"15113";"981707104";"981721627";"43.3214,-8.8171";"";"";"cristina.garrido@malpicadebergantinos.es/malpica.rbgalicia@eidolocal.es";"1500895-190";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Malpica de Bergantiños";"Concello de Malpica de Bergantiños";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Biblioteca Pública Municipal do Barqueiro";"Praza do Mesón, 1";"Barqueiro, O";"Mañón";"15337";"981414002";"981414151";"43.7358392,-7.7055279,19";"";"";"biblioteca@manon.es";"1501357-131";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Mañón";"Concello de Mañón";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Mazaricos";"Rúa Castelao, s/n (Casa da Cultura)";"Picota, A";"Mazaricos";"15256";"981867195";"981852217";"42.9361,-8.99154";"";"";"culturamazaricos@gmail.com/mazaricos.rbgalicia@eidolocal.es/jesus.jurjo@mazaricos.dicoruna.es";"1500916-307";"";"";"Pública";"Concello de Mazaricos";"Concello de Mazaricos";"Público";"Aberta";""
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal Xosé Vázquez Pintor";"Praza das Universidades  (Edf. Multiusos)";"Melide";"Melide";"15800";"981507929";"981506002";"42.9166,-8.01431";"";"";"biblioteca@concellodemelide.org/melide.rbgalicia@eidolocal.es";"1500778-114";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Melide";"Concello de Melide";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal Victoria Armesto";"Casa da Cultura. Xanceda, s/n";"Xanceda";"Mesía";"15685";"981687241/981687001";"981687069";"43.1135289,-8.2723859";"";"";"casadacultura@concellodemesia.gal/mesia.rbgalicia@eidolocal.gal";"1501455-191";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Mesía";"Concello de Mesía";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Bemantes";"Centro Social. Atrio, s/n";"Bemantes";"Miño";"15635";"981782304";"";"43.3394615,-8.1735231";"";"";"mariajesus.pais@concellodemino.gal/axencia.leitura.bemantes@mino.dicoruna.es";"1500942-12355";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Miño";"Concello de Miño";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Concepción Arenal de Miño";"A Rúa 2 - 2º";"Miño";"Miño";"15630";"981778807";"";"43.3484,-8.20763";"";"";"luisa.alvarez@concellodemino.gal/biblioteca@concellodemino.gal";"1500942-124";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Miño";"Concello de Miño";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Moeche";"Rúa da Feira, 32. San Ramón - San Xoan";"San Ramón";"Moeche";"15563";"981404006";"981404200";"43.5628128,-8.015028";"";"";"mppazo@yahoo.es/antonio.garcia@moeche.dicoruna.es";"1500955-308";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Moeche";"Concello de Moeche";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Mugardos";"Avenida de Galicia, 68 - Baixo";"Mugardos";"Mugardos";"15620";"981470301";"";"43.4601981,-8.255224";"";"";"mugardos.rbgalicia@eidolocal.es";"1500974-309";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Mugardos";"Concello de Mugardos";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Esteiro";"Creo, s/n";"Esteiro";"Muros";"15240";"981762487";"981762294";"42.788222,-8.9806352";"";"";"mariajose.lago@muros.dicoruna.es/cultura@muros.net";"1500993-414";"";"";"Pública";"Concello de Muros";"Concello de Muros";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca do Centro Social de Muros";"Rúa Hospital, 21";"Muros";"Muros";"15250";"881866152/881866253";"881866154";"42.7742795,-9.0589916";"";"";"luz.teijeiro.tato@xunta.es";"1503602-12366";"";"";"Pública";"Xunta de Galicia";"Xunta de Galicia";"Público";"Aberta";""
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Muros";"Estrada de Miraflores, s/n";"Muros";"Muros";"15250";"981762294";"981762313";"42.7771,-9.06247";"";"";"muros.rbgalicia@eidolocal.es/pepitaff1990@yahoo.es";"1500993-192";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Muros";"Concello de Muros";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal D. Santiago Rey Fernández-Latorre";"Virxe da Barca, 47";"Muxía";"Muxía";"15124";"981742563";"981742508";"43.1077188,-9.217101";"";"";"correo@muxia.dicoruna.es/muxia.rbgalicia@eidolocal.es";"1500980-1999";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Muxía";"Concello de Muxía";"Público";"Pechada temporalmente";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal da Gándara";"Obispo Argaya, s/n";"Gándara, A";"Narón";"15570";"981390918";"";"43.4939727,-8.196706";"";"";"agandara.naron.rbgalicia@eidolocal.es";"1501007-5";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Narón";"Concello de Narón";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Narón";"Rúa 25 de xullo, s/n";"Narón";"Narón";"15570";"981382173";"981386790";"43.5004,-8.19062";"http://biblioteca.naron.es/";"";"biblioteca.central@naron.es/a.gonzalez@naron.es/naron.rbgalicia@eidolocal.es";"1501007-27";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Narón";"Concello de Narón";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal da Solaina";"Rúa Cardenal Cisneros, 2 ";"Santa Icía";"Narón";"15570";"981389284";"";"43.501717,-8.199749";"";"";"ludoteca@naron.es";"1501007-2001";"";"";"Pública";"Concello de Narón";"Concello de Narón";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Neda";"Avenida Algeciras, 61";"San Nicolás";"Neda";"15510";"981390233";"981390249";"43.5003,-8.15804";"";"";"neda.rbgalicia@eidolocal.es/bibliotecaneda@gmail.com";"1501014-28";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Neda";"Concello de Neda";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Negreira";"Carreira de  San Mauro, 11";"Negreira";"Negreira";"15830";"981885250";"981885328";"42.9075,-8.73888";"";"";"biblionegreira@gmail.com/negreira.rbgalicia@eidolocal.es";"1501029-29";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Negreira";"Concello de Negreira";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Noia";"Corredoira de Luís Cadarso, 6";"Noia";"Noia";"15200";"981824169";"981824169";"42.7838,-8.88636";"";"";"noia.rbgalicia@eidolocal.es";"1502415-30";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Noia";"Concello de Noia";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal Xograr Mendiño";"Rúa do Golfiño, 38";"Lorbé";"Oleiros";"15177";"981618201";"981639996";"43.389444,-8.310723";"http://www.oleiros.org/web/concello-oleiros/bibliotecas";"";"biblioteca.lorbe@oleiros.org";"1501072-336";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Oleiros";"Concello de Oleiros";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal María José Trincado";"Rúa Curros Enríquez, s/n (Urb. Pía de Maianca)";"Mera";"Oleiros";"15177";"981628507";"981639996";"43.377875,-8.333688";"http://www.oleiros.org/web/concello-oleiros/bibliotecas";"";"biblioteca.mera@oleiros.org";"1501072-344";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Oleiros";"Concello de Oleiros";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal Manuel María";"Rúa Camilo Díaz Baliño, 1";"Oleiros";"Oleiros";"15173";"981610000-3301";"981639996";"43.333218,-8.318729";"http://www.oleiros.org/web/concello-oleiros/bibliotecas";"";"biblioteca.manuelmaria@oleiros.org";"1501072-316";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Oleiros";"Concello de Oleiros";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Central Rialeda";"Avenida Rosalía de Castro,  227 A";"Perillo";"Oleiros";"15172";"981639511";"981639996";"43.3314672,-8.360710";"http://www.oleiros.org/web/concello-oleiros/bibliotecas";"";"m.corral@oleiros.org/biblioteca.rialeda@oleiros.org";"1501072-312";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Oleiros";"Concello de Oleiros";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal María José Ruso";"Parque Nicolás Redondo";"Rialta - Arillo (Dorneda)";"Oleiros";"15178";"981626638";"";"43.358176,-8.319126";"http://www.oleiros.org/web/concello-oleiros/bibliotecas";"";"biblioteca.dorneda@oleiros.org";"1501072-315";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Oleiros";"Concello de Oleiros";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal Ánxel Fole de Nós ";"Casa do Pobo de Nós. Praza da Liberdade, s/n";"San Pedro de Nós";"Oleiros";"15176";"981664257";"981639996";"43.31723,-8.342716";"http://www.oleiros.org/web/concello-oleiros/bibliotecas";"";"biblioteca.nos@oleiros.org";"1501072-347";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Oleiros";"Concello de Oleiros";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal e Centro de Documentación da Muller Rosalía de Castro ";"Rúa Emilia Pardo Bazán, 17 - Centro Cultural As Torres";"Santa Cruz";"Oleiros";"15179";"981626338";"981626338";"43.346926,-8.343631";"http://www.oleiros.org/web/concello-oleiros/bibliotecas";"";"biblioteca.santacruz@oleiros.org";"1501072-313";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Oleiros";"Concello de Oleiros";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Ordes";"Porta do Encontro (Baixos da Alameda)";"Ordes";"Ordes";"15680";"981681992";"981682221";"43.0768907,-8.407414";"http://bibliotecadeordes.blogspot.com.es/";"";"ordes.rbgalicia@eidolocal.es";"1501843-31";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Ordes";"Concello de Ordes";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Oroso";"Rúa da Cultura, 1";"Sigüeiro";"Oroso";"15888";"981690903";"981691981";"42.9685,-8.44096";"";"";"biblioteca@oroso.gal/biblioteca@concellooroso.com/oroso.rbgalicia@eidolocal.es";"1501088-32";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Oroso";"Concello de Oroso";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal Juan Fernández Latorre";"Rúa Márquez Cortiñas, s/n";"Ortigueira";"Ortigueira";"15330";"981400101";"";"43.6871,-7.85243";"http://www.bibliodeortigueira.blogspot.com.es/";"";"ortigueira.rbgalicia@eidolocal.es";"1502586-193";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Ortigueira";"Concello de Ortigueira";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Outes";"Casa da Cultura. Avenida San Campio";"Serra de Outes";"Outes";"15230";"981850950";"981850950";"42.843076,-8.9078515";"";"";"outes.rbgalicia@eidolocal.es";"1501091-33";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Outes";"Concello de Outes";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Padrón";"Porta Fondo de Vila, 1";"Padrón";"Padrón";"15900";"981810761";"981117298";"42.7363,-8.66057";"";"";"biblioteca@padron.gal/padron.rbgalicia@eidolocal.es";"1501105-195";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Padrón";"Concello de Padrón";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal do Pino";"Rúa do Peregrino, 10";"Pedrouzo (Arca)";"Pino, O";"15821";"981511065/981511065/981511002";"981511123";"42.9368466,-8.337785";"";"";"biblioteca@concellodeopino.com";"1502369-34";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello do Pino";"Concello do Pino";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal Victoriano García Martí";"Rúa Castelao, 25 - 2º";"Pobra do Caramiñal, A";"Pobra do Caramiñal, A";"15940";"981831633";"981831192";"42.6033,-8.93744";"";"";"biblioteca@apobra.gal/apobradocaraminal.rbgalicia@eidolocal.es/josecarlosvidals@gmail.com";"1501112-128";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello da Pobra do Caramiñal";"Concello da Pobra do Caramiñal";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Ponteceso";"Avenida Bergantiños, 65 A";"Ponteceso";"Ponteceso";"15110";"981715442/981714000";"";"43.2459956,-8.8915609";"";"";"ponteceso.rbgalicia@eidolocal.es";"1501127-35";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Ponteceso";"Concello de Ponteceso";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal Poeta Ramiro Fonte";"Couceiro Freijomil, 5";"Pontedeume";"Pontedeume";"15600";"981432598";"981433368";"43.4071,-8.17128";"";"";"alejandro.cainzos@pontedeume.es/biblioteca@pontedeume.gal";"1501148-36";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Pontedeume";"Concello de Pontedeume";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal das Pontes de García Rodríguez";"Rúa Castelao, s/n";"Pontes de García Rodríguez, As";"Pontes de García Rodríguez, As";"15320";"981102562";"";"43.4499,-7.85263";"";"";"biblioteca@aspontes.org/aspontes.rbgalicia@eidolocal.es/anaisabel.alonso@aspontes.org";"1501151-134";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello das Pontes de García Rodríguez";"Concello das Pontes de García Rodríguez";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura  Municipal de Miñortos";"Lugar do Souto";"Miñortos";"Porto do Son";"15999";"981766074";"";"42.7679183,-8.9319267";"";"";"culturaportodoson@gmail.com";"1501164-20";"";"";"Pública";"Porto do son";"Porto do son";"Público";"Aberta";""
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal Xerardo Díaz Fernández";"Rúa da Atalaia, s/n";"Porto do Son";"Porto do Son";"15970";"981854088";"981767358(Concello)";"42.7249,-9.0065";"";"";"portodoson.rbgalicia@eidolocal.es/bibliotecason@yahoo.es";"1501164-21";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Porto do Son";"Concello de Porto do Son";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Portosín";"Rúa das Escamas, s/n";"Portosín";"Porto do Son";"15999";"981766332";"";"42.7583054,-8.9464116";"";"";"portosin.rbgalicia@eidolocal.es";"1501164-9";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Porto do Son";"Concello de Porto do Son";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de San Pedro de Muro";"Casa da Cultura. Novás, 53";"San Pedro de Muro";"Porto do Son";"15994";"981767866";"";"42.6215503,-9.0252368";"";"";"silveriopv@live.com";"1501164-25";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Porto do Son";"Concello de Porto do Son";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal Castelao";"Praza de Rafael Dieste, s/n";"Rianxo";"Rianxo";"15920";"981860272";"";"42.6504,-8.81894";"";"";"biblioteca@concelloderianxo.gal/rianxo.rbgalicia@eidolocal.es/sofia.carou@concelloderianxo.gal";"1501170-113";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Rianxo";"Concello de Rianxo";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Ribeira";"Xornalista Manuel Lustres Rivas, 20, 2º";"Ribeira";"Ribeira";"15960";"981874374/981835650";"";"42.5556,-8.991582";"";"";"ribeira.rbgalicia@eidolocal.es/sanmamed2004@yahoo.es";"1501186-111";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Ribeira";"Concello de Ribeira";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Rois";"Edificio Multiusos de Rois";"Infesta";"Rois";"15911";"981816061";"981804182";"42.7608,-8.6902";"www.concelloderois.org";"";"concelloderois@gmail.com";"1502375-196";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Rois";"Concello de Rois";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Meirás";"Rúa José Fernández Álvarez, 18";"Meirás";"Sada";"15168";"981621185";"";"43.3564668,-8.3065059";"";"";"";"1501967-12354";"";"";"Pública";"Concello de Sada";"Asociación de Veciños";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal Ramón Suárez Picallo";"Avenida do Porto, s/n";"Sada";"Sada";"15160";"981619115/615274614";"981621833";"43.3596,-8.25055";"http://www.concellodesada.com/ga/concello/cultura-e-praias/biblioteca-municipal";"";"biblioteca@sada.gal/iria.camean@sada.gal";"1501210-38";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Sada";"Concello de Sada";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de San Sadurniño";"Avenida Marqués de Figueroa, s/n";"San Sadurniño";"San Sadurniño";"15560";"652814144/636390990/981490027";"";"43.532729,-8.072569";"";"";"sansadurnino.rbgalicia@eidolocal.es/anagaimer@gmail.com";"1501225-14";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de San Sadurniño";"Concello de San Sadurniño";"Público";"Aberta";"Rexistrada e integrada"
